danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4,0
0.412,0.227,0,-12.696,1,0.0359,0.787,4.69e-06,0.282,0.226,80.111,257267,4,1
0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,263040,4,1
0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,155589,4,0
0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253,4,0
0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948,4,0
0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4,0
0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,0
0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,260520,4,1
0.563,0.739,6,-4.239,0,0.0416,0.00073,1.45e-05,0.0822,0.775,139.0,191707,4,1
0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,147351,4,1
0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,4,0
0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4,1
0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,202093,4,0
0.534,0.855,1,-4.923,0,0.183,0.0607,0.000263,0.346,0.42,122.06,153443,4,0
0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,208760,4,1
0.472,0.701,4,-3.72,1,0.0279,0.091,0.0,0.23,0.304,147.854,237022,4,1
0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4,1
0.696,0.733,1,-6.181,1,0.256,0.115,0.0,0.111,0.292,98.355,214445,4,0
0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,255067,3,1
0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018,4,0
0.7,0.748,9,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056,158761,4,0
0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,215360,4,1
0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,229760,4,1
0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139,4,0
0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3,1
0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,193429,4,1
0.447,0.441,0,-7.658,1,0.0456,0.874,4.36e-05,0.188,0.286,122.811,290892,4,1
0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4,0
0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,234973,4,1
0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,186496,4,0
0.449,0.377,8,-9.438,1,0.0343,0.815,1.18e-05,0.142,0.181,155.56,175875,3,1
0.41,0.312,7,-11.01,1,0.0269,0.783,6.36e-06,0.0783,0.22,144.751,239668,4,1
0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,4,0
0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,272373,4,0
0.729,0.735,1,-5.455,1,0.0919,0.0178,0.000193,0.089,0.544,121.986,255867,4,0
0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4,0
0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,320467,4,1
0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4,0
0.745,0.353,1,-10.614,1,0.0983,0.174,0.00662,0.118,0.598,160.111,326933,4,0
0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525,249213,4,0
0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,165853,4,1
0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,139560,4,0
0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,225389,4,0
0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4,1
0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4,0
0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.006,195873,4,1
0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,295600,3,1
0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,148629,3,0
0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,156788,4,0
0.595,0.588,10,-11.313,1,0.0624,0.507,0.781,0.113,0.518,166.061,145634,4,1
0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,236160,4,1
0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947,4,0
0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,177720,3,1
0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,4,0
0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4,0
0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,206693,4,0
0.551,0.643,4,-13.091,1,0.0353,0.00313,0.00385,0.421,0.514,128.661,271560,4,1
0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,236933,4,1
0.315,0.102,0,-17.621,0,0.034,0.985,0.0512,0.109,0.185,169.69,206723,3,1
0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,4,0
0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987,4,0
0.737,0.495,1,-13.489,1,0.027,0.0588,9.12e-06,0.0542,0.967,104.409,197147,4,1
0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,4,1
0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,371413,4,1
0.421,0.247,10,-14.655,1,0.143,0.665,0.375,0.115,0.139,161.468,433916,4,1
0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4,0
0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4,0
0.286,0.0847,2,-9.883,1,0.0397,0.934,6.94e-06,0.121,0.112,70.743,255987,4,1
0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4,1
0.577,0.366,8,-11.792,1,0.0368,0.879,7.76e-05,0.137,0.0841,129.923,212785,4,1
0.434,0.677,10,-7.535,1,0.119,0.384,0.0684,0.119,0.218,167.923,204209,4,1
0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,252307,4,1
0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,200307,4,1
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4,1
0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589,4,0
0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,184154,4,1
0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,224867,4,1
0.683,0.764,2,-5.995,1,0.0441,0.0427,0.0,0.0963,0.137,149.949,160325,4,0
0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,211667,4,1
0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,234800,4,1
0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,4,0
0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,180880,4,1
0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,4,1
0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4,0
0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4,0
0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,208947,4,1
0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4,1
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,0
0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,97393,4,0
0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,261413,4,1
0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4,0
0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,57370,4,1
0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,222160,4,0
0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,213920,4,1
0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627,4,1
0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739,171960,4,1
0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4,0
0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4,1
0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,129362,4,0
0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,4,0
0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,182888,3,1
0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,176658,4,0
